exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
exists file 
Not Android platform, skipping copyExternalDB
Treatment plans table ensured
Treatment plans table ensured
Treatment plans table ensured
Invoices table ensured
Invoices table ensured
Invoices table ensured
Checking App ID: 87, Start: 2023-09-16 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1273645m
Checking App ID: 88, Start: 2023-09-16 11:10:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1273515m
Checking App ID: 89, Start: 2023-09-16 11:20:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1273505m
Checking App ID: 91, Start: 2023-09-13 18:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1277395m
Checking App ID: 92, Start: 2023-09-16 10:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1273555m
Checking App ID: 93, Start: 2023-09-13 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1277965m
Checking App ID: 94, Start: 2023-09-13 19:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1277365m
Checking App ID: 95, Start: 2023-09-28 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1256365m
Checking App ID: 97, Start: 2023-09-20 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1267705m
Checking App ID: 98, Start: 2023-10-03 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1248985m
Checking App ID: 99, Start: 2023-09-19 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1269325m
Checking App ID: 100, Start: 2023-09-18 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1270585m
Checking App ID: 101, Start: 2023-09-20 18:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1267345m
Checking App ID: 102, Start: 2023-09-18 14:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1270465m
Checking App ID: 105, Start: 2023-09-18 13:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1270525m
Checking App ID: 106, Start: 2023-09-25 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1260505m
Checking App ID: 107, Start: 2023-10-03 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1249165m
Checking App ID: 108, Start: 2023-10-05 12:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1246105m
Checking App ID: 109, Start: 2023-10-12 13:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1235935m
Checking App ID: 110, Start: 2023-10-04 15:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1247365m
Checking App ID: 111, Start: 2023-10-04 15:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1247365m
Checking App ID: 112, Start: 2023-10-04 16:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1247305m
Checking App ID: 113, Start: 2023-10-02 16:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1250185m
Checking App ID: 114, Start: 2023-10-04 13:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1247455m
Checking App ID: 115, Start: 2023-10-07 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1243405m
Checking App ID: 116, Start: 2023-10-03 15:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1248805m
Checking App ID: 117, Start: 2023-10-08 14:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1241665m
Checking App ID: 118, Start: 2023-10-10 10:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1239025m
Checking App ID: 119, Start: 2023-10-05 09:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1246285m
Checking App ID: 120, Start: 2023-10-13 11:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1234645m
Checking App ID: 121, Start: 2023-10-14 15:00:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1232965m
Checking App ID: 122, Start: 2023-10-05 09:30:00.000, Now: 2026-02-16 19:25:38.506442, Diff: -1246255m
